iter	Passed	Remaining
0	140	140849
1	141	70622
2	142	47209
3	142	35495
4	143	28465
5	143	23776
6	143	20424
7	144	17914
8	144	15964
9	145	14400
10	145	13121
11	146	12055
12	146	11153
13	147	10379
14	147	9711
15	148	9126
16	148	8609
17	149	8150
18	149	7738
19	150	7367
20	150	7031
21	151	6727
22	151	6452
23	152	6199
24	153	5967
25	153	5751
26	154	5550
27	154	5364
28	155	5191
29	155	5029
30	156	4878
31	156	4736
32	157	4603
33	157	4479
34	158	4362
35	158	4249
36	159	4142
37	159	4041
38	160	3945
39	160	3854
40	161	3768
41	161	3686
42	162	3608
43	162	3533
44	163	3462
45	163	3395
46	164	3330
47	164	3268
48	165	3208
49	165	3150
50	166	3095
51	166	3041
52	167	2993
53	168	2944
54	168	2896
55	169	2850
56	169	2806
57	170	2763
58	170	2722
59	171	2682
60	171	2643
61	172	2606
62	172	2570
63	173	2535
64	173	2501
65	174	2469
66	175	2438
67	175	2407
68	176	2377
69	176	2347
70	177	2318
71	177	2291
72	178	2264
73	179	2240
74	179	2214
75	180	2190
76	180	2168
77	181	2144
78	182	2122
79	182	2098
80	183	2077
81	183	2055
82	184	2033
83	184	2013
84	185	1993
85	185	1974
86	186	1955
87	186	1937
88	187	1919
89	188	1902
90	188	1884
91	189	1868
92	189	1851
93	190	1835
94	190	1819
95	191	1804
96	192	1788
97	192	1773
98	193	1759
99	194	1749
100	195	1737
101	195	1724
102	196	1710
103	196	1697
104	197	1683
105	198	1670
106	198	1656
107	199	1644
108	199	1632
109	200	1620
110	200	1608
111	201	1597
112	202	1586
113	202	1575
114	203	1563
115	203	1552
116	204	1541
117	204	1530
118	205	1520
119	205	1509
120	206	1499
121	206	1488
122	207	1478
123	208	1470
124	208	1461
125	209	1452
126	209	1442
127	210	1432
128	211	1425
129	211	1416
130	212	1407
131	212	1399
132	213	1390
133	213	1382
134	214	1374
135	215	1367
136	215	1359
137	216	1351
138	216	1344
139	217	1336
140	218	1329
141	218	1320
142	219	1313
143	219	1306
144	220	1299
145	220	1292
146	221	1285
147	222	1279
148	222	1273
149	223	1267
150	224	1260
151	224	1253
152	225	1247
153	225	1240
154	226	1234
155	226	1227
156	227	1221
157	228	1216
158	228	1211
159	229	1205
160	229	1198
161	230	1192
162	231	1186
163	231	1181
164	232	1175
165	232	1169
166	233	1164
167	233	1158
168	234	1153
169	235	1148
170	235	1143
171	236	1138
172	237	1133
173	237	1129
174	238	1124
175	239	1119
176	239	1114
177	240	1109
178	240	1104
179	241	1100
180	242	1095
181	242	1090
182	243	1086
183	243	1081
184	244	1077
185	245	1072
186	245	1068
187	246	1064
188	247	1060
189	247	1056
190	248	1052
191	249	1050
192	250	1046
193	250	1041
194	251	1037
195	251	1033
196	252	1029
197	253	1025
198	253	1020
199	254	1016
200	254	1012
201	255	1008
202	255	1004
203	256	1000
204	257	997
205	257	993
206	258	989
207	258	985
208	259	981
209	260	978
210	260	974
211	261	970
212	261	967
213	262	963
214	263	961
215	263	958
216	265	956
217	265	953
218	266	949
219	266	945
220	267	942
221	268	939
222	268	935
223	269	932
224	269	929
225	270	925
226	270	922
227	271	919
228	272	916
229	272	913
230	273	909
231	273	906
232	274	903
233	274	900
234	275	897
235	276	893
236	276	891
237	277	888
238	277	884
239	278	881
240	279	878
241	279	875
242	280	872
243	280	869
244	281	866
245	282	864
246	282	861
247	283	858
248	283	856
249	284	853
250	285	850
251	285	847
252	286	844
253	286	842
254	287	839
255	287	836
256	288	834
257	289	831
258	289	828
259	290	827
260	291	826
261	292	823
262	292	820
263	293	818
264	293	815
265	294	812
266	295	810
267	295	807
268	296	804
269	296	802
270	297	799
271	297	797
272	298	794
273	299	792
274	299	789
275	300	787
276	300	784
277	301	782
278	301	780
279	302	777
280	303	775
281	303	773
282	304	770
283	304	768
284	305	766
285	306	764
286	306	761
287	307	759
288	307	757
289	308	755
290	309	753
291	309	750
292	310	748
293	310	746
294	311	744
295	312	742
296	312	740
297	313	737
298	313	735
299	314	733
300	314	731
301	315	729
302	316	727
303	316	725
304	318	725
305	319	724
306	320	722
307	320	720
308	321	718
309	322	717
310	322	715
311	323	713
312	324	711
313	324	709
314	325	707
315	325	705
316	326	703
317	327	701
318	327	699
319	328	697
320	328	695
321	329	694
322	330	692
323	330	690
324	331	688
325	332	686
326	332	684
327	333	682
328	333	680
329	334	678
330	335	677
331	335	675
332	336	673
333	336	671
334	337	669
335	337	667
336	338	665
337	338	663
338	339	661
339	340	660
340	340	658
341	341	656
342	341	654
343	342	653
344	343	651
345	343	649
346	344	647
347	344	646
348	345	644
349	346	642
350	346	640
351	347	639
352	347	637
353	348	635
354	348	633
355	349	632
356	349	630
357	350	628
358	351	626
359	351	625
360	352	624
361	353	622
362	353	620
363	354	619
364	355	617
365	355	616
366	356	614
367	356	613
368	357	611
369	358	609
370	358	608
371	359	606
372	360	605
373	360	603
374	361	602
375	361	600
376	362	598
377	362	597
378	363	595
379	364	593
380	364	592
381	365	590
382	365	589
383	366	587
384	366	585
385	367	584
386	367	582
387	368	581
388	369	579
389	369	578
390	370	577
391	371	575
392	371	574
393	372	573
394	373	571
395	373	570
396	374	568
397	375	567
398	375	566
399	376	564
400	377	563
401	377	561
402	378	560
403	378	558
404	379	557
405	379	555
406	380	554
407	381	552
408	381	551
409	382	549
410	382	548
411	383	547
412	383	545
413	384	544
414	385	543
415	386	542
416	386	541
417	387	539
418	388	538
419	388	536
420	389	535
421	389	534
422	390	532
423	391	531
424	391	529
425	392	528
426	392	527
427	393	525
428	394	524
429	394	523
430	395	521
