iter	Passed	Remaining
0	1	1123
1	2	1263
2	3	1160
3	4	1085
4	5	1035
5	6	1002
6	6	983
7	7	983
8	8	962
9	9	953
10	10	946
11	11	931
12	12	920
13	13	924
14	14	924
15	15	922
16	15	919
17	17	943
18	18	944
19	19	935
20	19	928
21	20	922
22	21	921
23	22	919
24	23	918
25	24	914
26	25	909
27	26	904
28	26	899
29	27	894
30	28	892
31	29	887
32	30	882
33	30	880
34	32	903
35	33	904
36	34	908
37	35	909
38	36	908
39	37	906
40	38	904
41	39	903
42	40	900
43	41	897
44	42	892
45	42	890
46	43	890
47	44	888
48	45	888
49	47	899
50	48	911
51	49	909
52	50	908
53	51	907
54	52	904
55	53	901
56	54	898
57	55	893
58	55	888
59	56	884
60	57	879
61	57	875
62	58	870
63	59	865
64	59	861
65	62	881
66	63	878
67	64	881
68	65	878
69	65	875
70	66	873
71	67	872
72	68	869
73	69	865
74	69	861
75	70	858
76	71	854
77	72	851
78	72	847
79	73	843
80	74	839
81	76	855
82	77	855
83	78	858
84	79	856
85	80	858
86	81	856
87	82	856
88	83	856
89	84	854
90	85	852
91	86	850
92	87	849
93	88	850
94	88	847
95	90	851
96	91	849
97	91	846
98	92	842
99	93	839
100	93	836
101	94	833
102	95	831
103	96	828
104	96	826
105	97	824
106	98	821
107	99	818
108	99	815
109	100	812
110	101	811
111	102	808
112	102	806
113	103	804
114	104	807
115	105	806
116	106	804
117	107	801
118	107	799
119	108	796
120	109	793
121	109	789
122	110	786
123	111	785
124	111	782
125	112	781
126	113	777
127	114	776
128	114	776
129	115	774
130	116	773
131	117	771
132	118	770
133	119	775
134	121	775
135	121	775
136	122	773
137	123	771
138	124	768
139	124	766
140	125	764
141	125	761
142	126	760
143	127	758
144	128	757
145	129	755
146	129	753
147	130	751
148	131	749
149	131	747
150	132	745
151	134	752
152	135	751
153	136	749
154	137	747
155	137	746
156	138	744
157	139	742
158	139	740
159	140	739
160	141	736
161	142	734
162	142	732
163	143	730
164	144	728
165	144	727
166	145	725
167	146	723
168	146	721
169	148	725
170	149	724
171	150	723
172	150	721
173	151	719
174	152	718
175	153	716
176	153	714
177	154	713
178	155	712
179	155	710
180	156	708
181	157	706
182	157	704
183	158	703
184	159	701
185	159	699
186	160	697
187	161	696
188	161	694
189	163	696
190	164	695
191	165	694
192	165	693
193	166	691
194	167	689
195	167	688
196	168	688
197	169	686
198	170	685
199	170	683
200	171	682
201	172	680
202	172	679
203	173	677
204	174	675
205	175	674
206	175	673
207	176	671
208	177	672
209	178	672
210	179	671
211	180	670
212	180	668
213	181	667
214	182	665
215	183	664
216	183	663
217	184	662
218	185	660
219	186	659
220	186	658
221	187	657
222	188	655
223	188	654
224	189	653
225	190	651
226	191	650
227	192	651
228	193	651
229	194	651
230	195	649
231	195	648
232	197	648
233	197	648
234	198	647
235	199	646
236	200	645
237	201	644
238	201	643
239	202	642
240	204	643
241	205	643
242	206	642
243	206	641
244	208	641
245	208	640
246	209	639
247	210	638
248	211	638
249	212	637
250	213	636
251	214	636
252	215	635
253	216	634
254	216	633
